tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24031703701,172,2,5,97,49
24031703702,369,23,17,8,197
24031703800,4124,1984,280,66,46
24031703901,4739,7,55,0,10
24031703902,1254,125,191,426,52
24031704000,392,0,26,124,21
24031704100,660,1,27,108,72
24031704200,3570,493,305,97,229
24031704300,657,49,102,63,104
24031704401,803,84,46,3,2
24031704403,281,5,1,0,0
24031704404,1361,46,73,525,10
24031704501,407,0,81,98,12
24031704502,218,1,20,115,3
24031704503,701,0,51,91,46
24031704600,2904,8,114,56,20
24031704700,994,168,103,212,70
24031704803,4597,1314,442,95,539
24031704804,16117,168,5329,254,1553
24031704805,8079,114,2218,364,49
24031704806,5389,431,1135,213,245
24031705000,24005,24,3314,36,147
24031705100,1308,11,105,85,12
24031705200,331,13,38,30,11
24031705300,816,186,128,4,2
24031705400,469,0,75,48,61
24031705501,9294,514,494,14,48
24031705502,1039,245,37,173,1
24031705601,446,22,65,64,0
24031705602,1389,38,141,1,4
24031705701,1298,275,77,154,61
24031705702,1023,127,49,62,169
24031705800,1402,42,584,83,91
24031705901,1477,96,162,623,9
24031705902,626,37,50,85,13
24031705903,418,5,56,165,14
24031706005,1441,62,92,620,17
24031706007,865,46,129,74,13
24031706008,1152,88,257,17,56
24031706009,1785,142,251,187,26
24031706010,181,0,3,102,8
24031706011,1055,9,160,336,30
24031706012,6065,2357,205,7,22
24031706013,14184,5,62,133,14
24033800102,746,115,97,65,78
24033800103,2957,1144,471,13,175
24033800105,1584,9,517,19,211
24033800106,443,8,47,2,10
24033800108,1604,657,63,0,4
24033800109,552,10,26,13,13
24033800203,5320,26,403,84,46
24033800206,387,13,73,0,48
24033800209,371,4,12,0,21
24033800210,100,53,0,0,0
24033800211,521,117,97,0,8
24033800212,3959,231,167,19,322
24033800213,3337,924,139,0,331
24033800216,171,2,69,0,2
24033800217,292,12,26,176,17
24033800218,1797,86,4,0,1169
24033800401,88,0,18,3,13
24033800402,1128,351,86,29,82
24033800403,577,4,67,0,3
24033800408,420,24,36,50,40
24033800409,1155,109,117,9,52
24033800410,1248,6,70,901,90
24033800411,2063,20,1049,4,303
24033800412,655,3,5,0,169
24033800413,481,162,10,12,42
24033800504,3978,565,994,70,1070
24033800505,62,2,6,0,16
24033800507,6356,753,135,16,1522
24033800511,422,47,28,0,51
24033800513,809,1,106,0,56
24033800514,643,173,153,18,53
24033800515,1588,157,214,3,6
24033800516,3014,1307,489,18,1
24033800517,420,1,154,0,14
24033800518,295,6,83,0,2
24033800519,1206,600,70,0,28
24033800520,252,126,17,2,2
24033800521,576,96,123,42,8
24033800522,1440,9,15,0,7
24033800605,9565,236,264,6,66
24033800606,251,119,9,12,0
24033800607,392,64,34,51,44
24033800608,914,258,92,3,192
24033800609,80,19,2,0,10
24033800701,641,30,76,0,65
24033800704,102,27,8,0,38
24033800705,400,111,39,0,17
24033800706,233,29,14,3,83
24033800707,2494,212,213,50,422
24033800800,365,25,54,0,77
24033800900,175,6,5,0,1
24033801003,2714,1250,11,0,103
24033801004,518,93,51,7,91
24033801005,521,6,12,24,3
24033801006,250,1,2,41,94
24033801105,1147,49,350,36,63
24033801106,651,7,160,0,6
24033801207,1618,17,6,0,61
24033801208,113,25,47,0,0
24033801209,28,0,1,0,22
24033801210,308,0,41,0,8
24033801211,2380,205,119,0,712
24033801212,821,218,20,9,73
24033801213,43,4,0,8,9
24033801214,1895,127,18,12,630
24033801215,74,33,2,0,14
24033801216,127,33,4,0,0
24033801217,2562,997,57,0,161
24033801302,379,24,55,0,36
24033801305,317,3,36,0,23
24033801307,1067,364,89,13,31
24033801308,118,0,15,0,16
24033801309,120,5,6,4,25
24033801310,440,166,31,19,52
24033801311,90,1,20,0,24
24033801312,299,69,8,3,1
24033801313,53,5,3,0,6
24033801404,6679,860,551,0,17
24033801405,3158,1041,42,10,20
24033801406,90,0,1,0,0
24033801407,86,10,1,0,21
24033801408,122,79,0,0,0
24033801409,99,6,1,0,31
24033801410,77,0,47,0,22
24033801411,850,90,17,18,32
24033801500,647,295,0,0,18
24033801600,85,32,4,0,0
24033801701,102,1,0,2,11
24033801702,35,0,9,0,0
24033801704,145,37,20,0,0
24033801707,52,0,0,0,9
24033801709,247,46,6,11,1
24033801801,344,174,0,0,0
24033801802,828,481,22,30,0
24033801807,42,13,0,0,0
24033801808,156,58,0,0,0
24033801809,265,56,20,0,1
24033801901,320,48,2,0,15
24033801904,972,188,3,6,23
24033801905,1910,754,411,11,5
24033801906,117,7,0,0,42
24033801907,1772,239,41,3,290
24033801908,301,99,4,0,7
24033802001,294,26,102,0,0
24033802002,140,27,0,0,1
24033802103,1660,947,21,0,18
24033802104,1389,211,9,0,570
24033802106,101,20,0,0,0
24033802107,13,0,0,0,0
24033802201,2671,255,35,6,1251
24033802203,2067,322,53,121,380
24033802204,7040,990,736,36,1082
24033802301,101,18,2,0,7
24033802404,73,3,35,0,5
24033802405,5317,13,170,0,0
24033802406,441,100,0,0,0
24033802407,664,282,8,0,6
24033802408,39,0,0,0,0
24033802501,413,4,295,29,15
24033802502,199,78,0,0,1
24033802600,75,29,0,0,2
24033802700,212,48,10,0,1
24033802803,291,20,16,0,92
24033802804,1028,52,3,12,437
24033802805,30,0,2,5,7
24033802901,489,143,0,0,0
24033803001,80,3,8,0,3
24033803002,119,10,0,0,1
24033803100,564,0,1,43,179
24033803200,1323,63,5,0,514
24033803300,3234,478,68,0,130
24033803403,241,103,0,0,6
24033803508,254,2,10,29,95
24033803509,2129,298,54,30,134
24033803512,94,0,9,5,3
24033803513,1630,44,2,1521,15
24033803514,5726,176,835,242,103
24033803516,5108,624,1033,1119,439
24033803519,1471,28,4,11,36
24033803520,330,9,35,0,13
24033803521,1329,416,59,4,6
24033803524,36,0,4,25,0
24033803525,1114,168,148,7,25
24033803526,26,0,3,1,0
24033803527,1032,670,88,12,1
24033803528,704,110,57,4,49
24033803601,39,23,0,0,5
24033803602,10135,390,681,114,314
24033803605,325,52,43,0,51
24033803606,1218,235,49,15,457
24033803607,1060,5,125,6,152
24033803608,5176,756,578,86,1244
24033803610,693,396,4,0,10
24033803612,6106,382,424,985,5
24033803613,696,241,1,2,8
24033803700,107,36,0,1,30
24033803801,997,648,40,0,42
24033803803,200,71,17,15,9
24033803900,782,46,0,0,43
24033804001,72,2,0,0,11
24033804002,2043,334,9,0,335
24033804101,151,0,5,0,16
24033804102,690,234,20,35,13
24033804200,1126,113,44,2,167
24033804300,3859,138,16,0,969
24033804400,740,122,1,0,210
24033804600,590,28,42,0,210
24033804700,258,55,5,24,21
24033804801,139,14,0,0,0
24033804802,115,48,0,0,3
24033804900,1146,99,48,0,53
24033805000,529,181,6,120,5
24033805101,193,53,10,0,24
24033805201,563,21,0,2,7
24033805202,155,46,3,0,2
24033805500,797,157,44,4,47
24033805601,728,266,4,0,16
24033805602,263,1,0,0,31
24033805700,248,44,2,0,43
24033805801,405,204,0,0,25
24033805802,158,95,3,0,17
24033805904,313,103,0,0,25
24033805906,42,12,0,0,8
24033805907,63,0,10,0,19
24033805908,6657,1517,701,10,35
24033805909,115,9,10,0,10
24033806000,983,659,32,41,17
24033806100,391,46,40,1,84
24033806400,181,0,16,0,0
24033806501,2467,116,133,5,501
24033806601,461,224,3,7,13
24033806602,3765,0,75,2,79
24033806706,1536,0,924,173,19
24033806708,1243,85,118,2,2
24033806710,5031,403,2088,12,37
24033806711,1848,21,9,0,33
24033806712,4603,0,1271,1,17
24033806713,1544,882,254,3,8
24033806714,711,38,408,0,0
24033806800,769,70,5,0,217
24033806900,546,170,11,42,71
24033807000,2395,438,321,11,304
24033807102,1636,183,321,5,89
24033807301,490,350,19,0,48
24033807304,200,0,91,0,36
24033807305,119,7,3,0,54
24033807404,11159,981,362,29,2573
24033807405,2286,461,32,4,84
24033807407,1009,100,44,33,74
24033807408,11891,602,2734,42,4207
24033807409,489,4,88,11,23
24033807410,1090,53,733,0,29
24033807500,2133,124,89,10,689
24033980000,3134,155,314,705,32
24035810100,290,26,4,11,103
24035810200,1135,19,3,81,49
24035810300,712,54,21,41,129
24035810400,2543,234,119,501,100
24035810500,1260,246,57,75,72
24035810600,1432,539,76,23,150
24035810700,1185,162,48,55,36
24035810800,2767,170,178,257,296
24035810901,1554,207,69,96,72
24035810902,188,0,5,0,110
24035811000,1212,304,114,0,79
24037875000,732,254,30,32,136
24037875100,2657,565,131,45,384
24037875201,470,50,12,119,146
24037875202,189,5,4,33,63
24037875300,323,27,2,0,51
24037875400,2570,370,301,585,91
24037875501,386,106,15,69,52
24037875502,4493,65,30,824,151
24037875601,146,0,2,27,39
24037875602,4556,412,2533,57,224
24037875700,818,71,30,43,233
24037875803,4215,149,2003,232,51
24037875903,1044,114,473,54,42
24037875904,610,46,93,157,42
24037875905,43,0,29,0,0
24037875906,1081,91,703,111,0
24037876001,5496,265,3485,20,126
24037876003,258,25,1,86,30
24037876004,2926,1235,417,53,67
24037876101,625,123,32,164,73
24037876102,391,49,52,87,128
24037876200,1426,30,472,581,21
24037990000,4,0,0,0,0
24039930101,1297,75,81,299,34
24039930102,561,76,21,0,52
24039930200,60,3,0,33,5
24039930500,645,137,3,9,73
24039930600,597,65,25,165,20
24039930800,1732,23,25,194,64
24041960100,855,14,30,419,99
24041960201,2098,338,370,67,192
24041960300,3066,482,454,203,0
24041960400,4576,404,403,391,261
24041960501,2811,487,142,8,234
24041960502,758,150,5,1,164
24041960600,178,10,12,0,15
24041960700,1100,181,34,53,30
24041960800,228,23,4,8,62
24041960900,810,69,20,29,80
24043000100,341,96,9,42,2
24043000200,1331,23,19,370,17
24043000301,1295,26,0,378,10
24043000302,129,10,0,24,0
24043000400,2773,69,180,63,64
24043000500,1333,31,95,9,4
24043000601,2331,237,98,155,13
24043000602,2998,242,11,0,133
24043000700,1087,92,38,108,53
24043000800,884,65,31,34,189
24043000900,6409,1373,69,2,184
24043001001,2850,740,140,528,160
24043001002,1065,388,2,167,63
24043010100,113,51,2,15,4
24043010200,792,20,57,57,99
24043010300,6182,431,267,74,166
24043010401,944,147,33,97,35
24043010402,7120,1724,103,91,190
24043010600,621,74,3,155,136
24043010700,834,230,154,40,17
24043010802,3094,334,20,328,42
24043010803,2095,23,23,2,19
24043010901,2027,244,11,989,292
24043010902,266,98,15,0,31
24043011000,1130,0,0,0,0
24043011100,2961,1196,161,10,89
24043011202,1157,313,34,52,105
24043011203,540,1,56,3,26
24043011204,4762,133,13,583,25
24043011301,818,66,19,210,49
24043011302,473,59,4,51,59
24043011400,1708,271,61,224,129
24043011501,200,1,32,0,61
24043011502,182,20,3,18,51
24043011600,319,32,1,45,62
24043011700,1009,43,14,53,307
24045000100,3998,216,168,1059,93
24045000200,3333,140,307,91,184
24045000300,623,131,77,47,42
24045000400,5333,511,62,64,14
24045000500,1668,93,75,137,137
24045010101,6742,825,268,233,609
24045010102,1965,104,133,86,14
24045010200,492,40,11,182,40
24045010300,1562,266,143,79,52
24045010400,1921,589,35,79,193
24045010501,907,44,25,16,170
24045010503,1053,22,25,206,0
24045010504,685,122,17,87,17
24045010603,4226,908,101,78,85
24045010604,911,197,35,62,167
24045010605,370,13,14,0,36
24045010606,1698,26,3,459,141
24045010701,386,51,18,67,22
24045010703,2433,894,19,59,80
24045010704,516,4,28,40,145
24045010800,386,20,13,20,69
24047950000,3022,212,38,12,105
24047950100,2804,336,104,14,26
24047950300,1163,207,35,0,60
24047950400,1227,413,90,117,55
24047950600,142,0,10,0,11
24047950700,328,1,11,100,26
24047950800,920,97,113,0,254
24047950900,1767,514,71,200,99
24047951000,2781,233,86,492,100
24047951101,525,38,38,0,43
24047951102,209,67,1,0,55
24047951200,809,8,7,373,67
24047951300,1334,41,19,283,16
24047951400,432,80,3,0,61
24047951500,1601,425,58,178,80
24047951700,1702,169,95,6,159
24510010100,1059,41,167,4,0
24510010200,224,1,22,42,13
24510010300,136,6,9,0,0
24510010400,1582,243,288,0,44
24510010500,80,0,14,0,0
24510020100,337,8,63,81,4
24510020200,224,20,56,2,12
24510020300,7546,244,940,260,179
24510030100,716,62,54,109,8
24510030200,7897,233,837,1097,227
24510040100,53906,799,9312,349,1134
24510040200,14452,69,91,6,0
24510060100,64,3,0,0,23
24510060200,318,24,5,239,12
24510060300,94,11,0,0,6
24510060400,13862,25,34,2681,0
24510070100,35,2,0,0,1
24510070200,108,19,0,7,2
24510070300,247,103,2,52,15
24510070400,10177,57,247,8248,0
24510080101,615,32,5,388,2
24510080102,349,179,36,54,0
24510080200,358,5,8,50,97
24510080301,37,8,0,19,0
24510080302,250,0,2,36,0
24510080400,163,3,0,61,0
24510080500,270,10,4,118,0
24510080600,18,5,0,0,0
24510080700,57,3,0,0,29
24510080800,110,1,0,36,17
24510090100,444,6,3,374,0
24510090200,526,5,6,253,0
24510090300,603,37,1,67,2
24510090400,698,414,0,6,37
24510090500,1264,197,10,481,0
24510090600,2,0,0,0,0
24510090700,26,12,0,0,6
24510090800,933,120,7,48,271
24510090900,165,18,0,70,12
24510100100,308,19,4,102,0
24510100200,55,0,0,21,0
24510100300,1778,0,1,28,0
24510110100,1344,16,155,3,6
24510110200,6873,240,565,475,10
24510120100,511,0,35,206,0
24510120201,290,49,22,70,7
24510120202,8415,66,872,3679,11
24510120300,525,13,30,64,15
24510120400,164,3,16,99,0
24510120500,778,50,53,60,2
24510120600,2872,219,178,269,36
24510120700,4321,117,10,124,269
24510130100,72,1,0,4,0
24510130200,67,4,0,40,0
24510130300,248,42,0,49,8
24510130400,540,69,2,0,76
24510130600,1622,109,437,20,120
24510130700,3256,344,40,390,75
24510130803,198,12,23,60,7
24510130804,1237,51,260,165,49
24510130805,264,0,36,171,0
24510130806,2037,67,192,450,3
24510140100,1115,44,37,788,22
24510140200,340,53,2,52,0
24510140300,185,29,0,7,0
24510150100,237,20,0,105,0
24510150200,74,24,1,40,0
24510150300,176,15,0,109,0
24510150400,1028,10,1,683,62
24510150500,2648,450,52,648,23
24510150600,377,107,0,208,0
24510150701,231,2,10,185,4
24510150702,72,0,0,1,0
24510150800,375,21,2,0,4
24510150900,64,17,5,30,1
24510151000,730,75,5,245,6
24510151100,388,34,5,108,74
24510151200,180,6,0,81,6
24510151300,368,59,0,13,55
24510160100,17,5,3,0,0
24510160200,59,3,0,47,0
24510160300,287,7,1,113,0
24510160400,53,15,0,0,0
24510160500,387,53,2,273,4
24510160600,251,18,0,34,0
24510160700,180,9,0,88,0
24510160801,57,0,0,38,3
24510160802,14,0,0,0,0
24510170100,2287,40,15,1,6
24510170200,5786,19,107,160,2
24510170300,87,0,5,72,2
24510180300,1622,6,1294,53,46
24510190100,196,8,9,69,37
24510190200,76,2,0,0,2
24510190300,141,32,9,36,13
24510200100,597,12,84,27,0
24510200200,297,57,0,41,80
24510200300,58,23,4,0,0
24510200400,89,27,0,0,4
24510200500,850,142,0,82,104
24510200600,699,177,0,126,61
24510200701,205,13,0,164,3
24510200702,47,0,0,40,0
24510200800,458,102,0,0,26
24510210100,3743,261,118,35,535
24510210200,3515,159,158,132,40
24510220100,5329,53,1312,6,35
24510230100,1336,72,173,59,458
24510230200,767,84,146,26,6
24510230300,1028,2,155,0,7
24510240100,3716,246,642,76,141
24510240200,1961,93,171,122,16
24510240300,314,18,41,59,1
24510240400,1324,94,86,41,579
24510250101,242,0,19,18,3
24510250102,230,0,0,182,0
24510250103,6625,63,232,50,420
24510250203,1583,30,0,0,0
24510250204,116,0,0,59,0
24510250205,1981,148,162,71,151
24510250206,3456,188,317,35,266
24510250207,848,37,0,119,0
24510250301,402,16,0,63,125
24510250303,714,28,0,76,128
24510250401,271,52,4,48,28
24510250402,52,0,16,0,9
24510250500,3762,65,76,108,924
24510250600,3826,111,159,0,144
24510260101,590,89,4,133,74
24510260102,221,65,0,37,3
24510260201,805,182,0,65,7
24510260202,123,19,0,62,0
24510260203,279,61,2,182,0
24510260301,161,19,7,83,0
24510260302,181,81,0,57,0
24510260303,654,37,0,85,48
24510260401,268,31,0,63,64
24510260402,437,27,5,0,170
24510260403,397,36,0,0,138
24510260404,5502,144,112,0,632
24510260501,7647,452,212,281,223
24510260604,54,0,0,0,0
24510260605,25626,1079,187,384,267
24510260700,714,46,7,0,235
24510260800,358,87,6,26,79
24510260900,2467,287,152,27,89
24510261000,197,87,8,69,14
24510261100,229,4,43,0,10
24510270101,34,10,4,0,5
24510270102,104,20,5,3,12
24510270200,844,116,8,0,36
24510270301,495,54,17,52,22
24510270302,204,2,3,0,30
24510270401,434,49,6,120,26
24510270402,343,34,7,108,32
24510270501,785,164,71,371,7
24510270502,381,64,14,9,108
24510270600,326,94,6,16,19
24510270701,284,0,0,278,0
24510270702,674,26,12,221,16
24510270703,216,43,23,0,68
24510270801,108,0,5,85,10
24510270802,241,43,0,77,0
24510270803,2644,26,8,125,0
24510270804,50,4,5,0,3
24510270805,506,60,21,124,2
24510270901,242,20,0,0,2
24510270902,1768,24,8,1571,28
24510270903,264,32,1,0,10
24510271001,87,5,0,60,2
24510271002,221,37,0,67,0
24510271101,648,26,5,431,0
24510271102,1568,9,18,1276,34
24510271200,1449,62,76,416,16
24510271300,1508,130,30,1123,7
24510271400,835,99,41,1,34
24510271501,3497,224,717,758,13
24510271503,730,41,165,219,0
24510271600,369,18,0,70,0
24510271700,6005,14,7,59,12
24510271801,211,39,5,59,11
24510271802,585,51,0,27,2
24510271900,723,78,3,81,5
24510272003,367,19,50,77,13
24510272004,138,2,7,12,4
24510272005,341,5,25,8,0
24510272006,582,123,44,266,2
24510272007,865,57,54,184,11
24510280101,4485,622,24,0,102
24510280102,5245,306,338,37,71
24510280200,240,124,0,26,1
24510280301,244,23,4,94,3
24510280302,63,0,2,0,0
24510280401,322,102,84,51,0
24510280402,69,0,0,58,0
24510280403,633,1,0,160,7
24510280404,340,0,2,0,0
24510280500,3484,44,99,144,0
24510280600,483,6,116,88,0
