tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24005402305,90,10,5,0,3
24005402306,182,134,11,8,3
24005402307,893,101,12,316,3
24005402403,109,4,1,58,4
24005402404,182,25,2,91,31
24005402405,223,1,4,85,0
24005402407,6343,360,1044,36,522
24005402408,199,0,0,0,0
24005402409,36,0,1,0,0
24005402503,937,236,11,65,18
24005402504,415,52,0,68,12
24005402505,93,11,2,4,0
24005402506,566,117,12,106,3
24005402510,567,87,11,1,0
24005402511,356,18,35,35,0
24005402602,1018,635,4,47,5
24005402603,5135,12,465,519,110
24005402604,236,1,7,66,12
24005403100,273,0,5,0,1
24005403201,348,0,12,248,8
24005403202,78,23,18,0,7
24005403300,608,31,27,21,34
24005403401,3601,349,279,49,67
24005403402,5649,692,326,189,124
24005403500,958,58,236,240,32
24005403601,540,19,33,139,21
24005403602,2138,75,323,548,221
24005403702,4839,1317,133,82,15
24005403703,2755,171,273,0,19
24005403704,1183,233,119,326,22
24005403801,1197,11,14,964,29
24005403802,840,15,47,218,48
24005403803,1361,145,113,449,3
24005404101,10499,629,2285,146,89
24005404102,4138,555,522,207,772
24005404201,423,262,37,60,7
24005404202,5134,395,457,200,1102
24005404402,675,142,55,103,136
24005404403,1346,270,66,144,180
24005404404,2326,330,230,305,288
24005404501,939,76,62,213,45
24005404502,235,58,63,0,19
24005404600,811,52,92,12,140
24005404800,433,1,42,0,75
24005404900,606,5,42,2,39
24005405000,667,30,17,33,140
24005406000,691,28,47,41,124
24005407001,753,152,73,98,49
24005407002,913,34,71,41,184
24005408100,9261,54,1783,63,674
24005408200,374,45,26,64,18
24005408302,573,4,19,185,1
24005408303,210,11,57,0,24
24005408304,730,115,23,28,133
24005408400,29308,2533,4097,651,2097
24005408502,1665,2,18,34,15
24005408503,1795,765,167,92,49
24005408505,5381,550,788,233,212
24005408506,1009,18,11,107,16
24005408507,174,0,12,0,18
24005408601,844,247,81,69,82
24005408602,1123,131,151,120,8
24005408702,507,15,70,54,14
24005408703,182,4,20,54,33
24005408704,3094,77,82,653,60
24005408800,6611,960,756,155,631
24005408900,1117,335,23,1,40
24005410100,1287,147,148,177,151
24005410200,858,145,52,96,189
24005411101,313,9,14,81,73
24005411102,628,112,67,50,120
24005411201,430,17,44,30,37
24005411202,732,20,93,13,113
24005411302,4029,357,163,17,797
24005411303,1597,182,66,249,24
24005411306,458,134,66,0,9
24005411307,1628,528,34,67,9
24005411308,446,15,11,211,34
24005411309,2014,379,254,71,36
24005411404,307,137,53,0,35
24005411406,1234,151,102,101,92
24005411408,1124,147,75,114,72
