w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010001001007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24001000100,24001
240010001001011,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,24001000100,24001
240010001001012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24001000100,24001
240010001001020,17,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,24001000100,24001
240010001001027,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,24001000100,24001
240010001001030,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000100,24001
240010001001045,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000100,24001
240010001001057,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,24001000100,24001
240010001002009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,24001000100,24001
240010001002024,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,9,24001000100,24001
240010001002025,21,0,0,0,0,0,0,2,11,0,0,0,0,0,2,0,0,0,6,0,0,10,4,7,24001000100,24001
240010001002026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24001000100,24001
240010001002027,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,2,1,24001000100,24001
240010001002051,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,24001000100,24001
240010001002055,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000100,24001
240010001002056,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,24001000100,24001
240010001002060,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,24001000100,24001
240010001002066,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,24001000100,24001
240010001002083,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,2,24001000100,24001
240010001003030,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,1,24001000100,24001
240010001003040,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,24001000100,24001
240010001003044,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24001000100,24001
240010001003045,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,24001000100,24001
240010001003054,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,24001000100,24001
240010001003059,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,1,3,24001000100,24001
240010002001002,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,24001000200,24001
240010002001004,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24001000200,24001
240010002001011,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000200,24001
240010002001014,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000200,24001
240010002001019,489,0,0,0,0,486,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,334,119,24001000200,24001
240010002001025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24001000200,24001
240010002002000,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,76,315,67,24001000200,24001
240010002002001,22,0,0,0,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,24001000200,24001
240010002002013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,24001000200,24001
240010002002022,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,24001000200,24001
240010002003000,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,5,8,12,24001000200,24001
240010002003004,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000200,24001
240010002003008,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000200,24001
240010002003010,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,24001000200,24001
240010002003015,22,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,24001000200,24001
240010002003019,893,0,0,0,0,884,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,50,552,291,24001000200,24001
240010002003020,156,0,0,0,42,39,14,0,61,0,0,0,0,0,0,0,0,0,0,0,0,16,38,102,24001000200,24001
240010002003021,209,0,0,0,18,13,7,0,27,0,0,0,0,1,0,0,0,0,0,0,143,3,23,183,24001000200,24001
240010002003023,24,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,14,8,2,24001000200,24001
240010002003025,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,1,0,8,9,0,24001000200,24001
240010002003033,500,0,0,0,0,78,413,9,0,0,0,0,0,0,0,0,0,0,0,0,0,56,339,105,24001000200,24001
