w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010001001012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24001000100,24001
240010001001020,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,2,24001000100,24001
240010001001027,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,24001000100,24001
240010001001030,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000100,24001
240010001002003,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2,24001000100,24001
240010001002009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,1,0,24001000100,24001
240010001002024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000100,24001
240010001002025,20,0,0,0,0,0,0,1,11,0,0,0,0,0,2,0,0,0,6,0,0,5,8,7,24001000100,24001
240010001002026,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,24001000100,24001
240010001002027,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,24001000100,24001
240010001002051,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000100,24001
240010001002055,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000100,24001
240010001002056,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,24001000100,24001
240010001002060,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24001000100,24001
240010001002083,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,1,5,7,24001000100,24001
240010001003030,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,24001000100,24001
240010001003044,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000100,24001
240010001003059,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,1,2,24001000100,24001
240010002001002,17,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,24001000200,24001
240010002001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000200,24001
240010002001019,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,24001000200,24001
240010002001025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24001000200,24001
240010002002000,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,58,286,75,24001000200,24001
240010002002001,23,0,0,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,24001000200,24001
240010002002013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,24001000200,24001
240010002002028,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,6,0,24001000200,24001
240010002003000,33,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,5,12,16,24001000200,24001
240010002003010,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,24001000200,24001
240010002003015,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,24001000200,24001
240010002003019,719,0,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,414,242,24001000200,24001
240010002003020,238,0,0,0,42,63,27,0,106,0,0,0,0,0,0,0,0,0,0,0,0,9,62,167,24001000200,24001
240010002003021,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,1,143,24001000200,24001
