w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010005001015,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,11,0,2,24001000500,24001
240010005001019,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,1,5,24001000500,24001
240010005001020,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,4,8,24001000500,24001
240010005001024,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,17,12,4,24001000500,24001
240010005001027,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,24001000500,24001
240010005001032,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,24001000500,24001
240010005001035,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,9,4,4,24001000500,24001
240010005002006,210,0,0,0,0,0,0,76,5,0,0,0,0,0,5,0,81,0,43,0,0,62,106,42,24001000500,24001
240010005002007,35,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,17,0,0,12,10,13,24001000500,24001
240010005002008,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,17,21,1,24001000500,24001
240010005002011,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,30,2,5,24001000500,24001
240010005002018,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,179,0,17,0,0,24,47,149,24001000500,24001
240010005002025,2587,0,0,0,0,0,0,12,9,0,0,0,3,0,12,548,1985,1,17,0,0,313,763,1511,24001000500,24001
240010005002033,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,1,24001000500,24001
240010006001002,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,24,20,36,24001000600,24001
240010006001005,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,24001000600,24001
240010006001007,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,17,20,44,24001000600,24001
240010006001019,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,7,6,0,24001000600,24001
240010006001020,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,4,24001000600,24001
240010006001023,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24001000600,24001
240010006001038,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,17,26,16,24001000600,24001
240010006001051,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24001000600,24001
240010006001063,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,1,1,24001000600,24001
240010006001064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24001000600,24001
240010006001076,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,23,14,24001000600,24001
240010006001082,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,24001000600,24001
240010006001091,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,1,24001000600,24001
240010006002002,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,62,0,0,43,15,7,24001000600,24001
240010006002003,284,0,0,0,0,0,14,189,1,0,6,0,0,0,0,0,0,0,70,4,0,116,122,46,24001000600,24001
240010006002005,24,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,14,9,1,24001000600,24001
240010007001000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000700,24001
240010007001008,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,24001000700,24001
240010007001014,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,9,27,24001000700,24001
240010007001015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24001000700,24001
240010007001016,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24001000700,24001
240010007001019,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,24001000700,24001
240010007001021,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,24001000700,24001
240010007001022,25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,3,1,24001000700,24001
240010007001024,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,1,24001000700,24001
240010007001028,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,2,24001000700,24001
240010007001041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24001000700,24001
240010007001042,68,0,0,0,1,0,0,46,0,0,3,3,0,0,0,0,0,6,0,9,0,28,29,11,24001000700,24001
240010007001050,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,24001000700,24001
240010007001051,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24001000700,24001
240010007001052,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,24001000700,24001
240010007001053,13,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,2,10,24001000700,24001
240010007001055,58,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,50,0,0,30,28,0,24001000700,24001
240010007001062,35,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,29,0,0,12,21,2,24001000700,24001
240010007001063,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,14,14,38,24001000700,24001
240010007001068,38,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,9,1,0,21,13,4,24001000700,24001
240010007001069,51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,24001000700,24001
240010007002000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,24001000700,24001
240010007002002,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,24001000700,24001
240010007002010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24001000700,24001
240010007002013,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,7,6,12,24001000700,24001
240010007002021,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,5,12,24001000700,24001
240010007002030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,2,1,24001000700,24001
240010007002031,6,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,24001000700,24001
240010007002033,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,6,0,24001000700,24001
240010007002034,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,16,29,66,24001000700,24001
240010007002038,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,24001000700,24001
240010007002041,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,5,20,3,24001000700,24001
240010007002044,94,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,56,24001000700,24001
240010007002049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24001000700,24001
240010007002050,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,24001000700,24001
240010007002051,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,24001000700,24001
240010007002056,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,24001000700,24001
240010007002060,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,24001000700,24001
240010007002065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24001000700,24001
240010007002069,60,0,0,0,0,0,17,7,0,14,0,0,0,0,0,0,22,0,0,0,0,20,23,17,24001000700,24001
240010008001001,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,24001000800,24001
240010008001003,47,0,0,0,6,0,6,28,0,0,0,0,0,0,0,0,0,0,0,7,0,9,18,20,24001000800,24001
240010008001004,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,7,24001000800,24001
240010008001006,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,1,4,24001000800,24001
240010008001007,20,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,3,1,4,13,3,4,24001000800,24001
240010008001011,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,24001000800,24001
240010008001021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,1,24001000800,24001
240010008001028,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,24001000800,24001
240010008001034,76,0,0,0,0,13,9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,10,24,42,24001000800,24001
240010008001037,81,0,0,0,40,0,0,0,32,0,0,0,0,0,0,0,0,0,0,9,0,7,28,46,24001000800,24001
240010008001039,17,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,10,1,24001000800,24001
240010008001045,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,24001000800,24001
240010008001048,45,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,39,0,19,26,24001000800,24001
240010008001051,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24001000800,24001
240010008001053,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,24001000800,24001
240010008001056,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,24001000800,24001
240010008001058,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24001000800,24001
