w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010001001011,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,24001000100,24001
240010001001012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,24001000100,24001
240010001001020,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,24001000100,24001
240010001001030,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000100,24001
240010001001045,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000100,24001
240010001001057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,24001000100,24001
240010001002009,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,24001000100,24001
240010001002024,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,2,5,24001000100,24001
240010001002025,21,0,0,0,0,0,0,3,11,0,0,0,0,0,2,0,0,0,5,0,0,11,5,5,24001000100,24001
240010001002026,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,24001000100,24001
240010001002027,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,24001000100,24001
240010001002051,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,24001000100,24001
240010001002055,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,24001000100,24001
240010001002056,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,24001000100,24001
240010001002060,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24001000100,24001
240010001002063,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000100,24001
240010001002083,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,3,6,6,24001000100,24001
240010001003016,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,24001000100,24001
240010001003030,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,24001000100,24001
240010001003040,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24001000100,24001
240010001003044,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000100,24001
240010001003045,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,24001000100,24001
240010001003054,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,24001000100,24001
240010001003059,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,3,24001000100,24001
240010002001002,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,24001000200,24001
240010002001004,9,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,24001000200,24001
240010002001019,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,24001000200,24001
240010002001025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,24001000200,24001
240010002002000,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,91,287,63,24001000200,24001
240010002002001,504,0,0,0,0,487,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,25,388,91,24001000200,24001
240010002002013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,24001000200,24001
240010002003000,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,10,9,12,24001000200,24001
240010002003004,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,24001000200,24001
240010002003008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000200,24001
240010002003010,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,24001000200,24001
240010002003011,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000200,24001
240010002003015,14,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,24001000200,24001
240010002003019,918,0,0,0,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,611,219,24001000200,24001
240010002003020,139,0,0,0,12,39,22,0,63,0,0,0,0,3,0,0,0,0,0,0,0,9,46,84,24001000200,24001
240010002003021,202,0,0,0,6,18,2,0,27,0,0,0,0,1,0,0,0,0,0,0,148,1,22,179,24001000200,24001
240010002003023,28,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,17,9,2,24001000200,24001
240010002003025,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,5,11,2,24001000200,24001
240010002003033,384,0,0,0,0,63,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,316,52,24001000200,24001
240010002003036,72,0,0,0,0,64,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,2,3,67,24001000200,24001
240010005001004,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,24001000500,24001
240010005001014,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,5,2,24001000500,24001
240010005001015,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,7,2,1,24001000500,24001
240010005001019,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,10,5,24001000500,24001
240010005001020,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,9,21,10,24001000500,24001
240010005001024,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,17,0,24001000500,24001
240010005001027,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,24001000500,24001
240010005001032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24001000500,24001
240010005001035,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,2,2,24001000500,24001
240010005001036,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,2,0,24001000500,24001
