tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24031700104,24031,5652,2665,0.9940906106369009
24031700105,24031,6266,3253,1.0
24031700207,24031,5699,2815,0.9965079365079365
24031700208,24031,2385,1157,0.9878223495702005
24031700311,24031,10025,5297,0.9922772988505747
24031700312,24031,6415,3318,0.9940975458216837
24031700611,24031,6356,3051,1.0
24031700613,24031,6360,3259,0.9949338587109485
24031700614,24031,5303,2988,1.0
24031700615,24031,3008,1370,0.9874551971326165
24031700616,24031,4753,2310,1.0
24031700717,24031,7474,3782,1.0
24031700718,24031,5398,2872,0.9781109445277362
24031700719,24031,9738,4929,0.9931972789115646
24031700720,24031,3755,1872,0.9956626506024097
24031700721,24031,3292,1921,0.9915841584158416
24031700722,24031,4725,2580,1.0
24031700723,24031,3720,1114,0.9462934947049925
24031700724,24031,3635,1924,1.0
24031700820,24031,2769,1507,0.9975713418336369
24031700822,24031,1850,940,0.9965004374453194
24031700823,24031,3446,1741,0.99365234375
24031700824,24031,2866,1402,1.0
24031700826,24031,5575,2807,0.9941002949852508
24031700828,24031,2221,1086,1.0
24031700829,24031,3210,1725,1.0
24031700830,24031,3193,1887,0.992496248124062
24031700832,24031,3322,1660,1.0
24031700833,24031,4002,2173,1.0
24031700834,24031,5282,2824,1.0
24031700835,24031,4857,2357,0.9875294910684193
24031701006,24031,5448,2107,0.9969500571864277
24031701007,24031,3206,1727,0.9952854897852279
24031701216,24031,4889,3125,0.9814992025518341
24031701218,24031,2995,1542,0.9659820282413351
24031701219,24031,4323,2199,0.9851851851851852
24031701220,24031,3904,1812,0.9948210922787194
24031701221,24031,4411,2144,1.0
24031701314,24031,3272,1715,0.9911198815984213
24031701315,24031,4665,2172,1.0
24031701316,24031,6485,2727,1.0
24031701317,24031,4503,2013,0.9972698907956318
24031701418,24031,3481,1843,1.0
24510271002,24510,4268,1708,1.0
24510260402,24510,2999,1455,0.986318407960199
24510271200,24510,6661,3350,1.0
24510280404,24510,2519,1128,1.0
24510090100,24510,4057,2002,1.0
24510200300,24510,1612,771,1.0
24510271501,24510,4077,1882,1.0
24510250203,24510,1938,857,1.0
24510110200,24510,5273,3450,1.0
24510020300,24510,3768,2958,1.0
24510150400,24510,3749,1419,1.0
24510010200,24510,3145,2318,1.0
24510060400,24510,1433,778,1.0
24039980400,24039,3817,3116,1.0
24041960600,24041,1644,548,0.9941107184923439
24041960700,24041,3344,1049,1.0
24041960400,24041,5380,2549,1.0
24041960300,24041,3840,1754,1.0
24041960800,24041,1939,699,1.0
24033803612,24033,3309,1601,1.0
24033800106,24033,2856,1606,0.9952380952380953
24017851002,24017,9038,4196,0.9866032843560933
24033803512,24033,6987,3702,0.9895931882686849
24033803602,24033,2543,986,0.9973285841495992
24033803610,24033,3673,1788,1.0
24033803700,24033,2776,1321,1.0
24033804001,24033,4917,2160,1.0
24033805500,24033,3897,2077,1.0
24033805602,24033,5561,3299,1.0
24033806602,24033,5678,2839,1.0
24033806706,24033,3402,1748,1.0
24033806708,24033,4266,2185,1.0
24033806711,24033,5131,2652,0.9968954812004139
24033807200,24033,13922,419,0.9979838709677419
24033806400,24033,3515,1587,1.0
24033805601,24033,6620,3664,1.0
24033805700,24033,6021,3276,1.0
24033805801,24033,4737,2443,0.998945518453427
24033806800,24033,4246,2196,0.9844745222929936
24033807404,24033,5723,2871,1.0
24033807405,24033,5372,3428,1.0
24033800401,24033,2422,1199,0.9882955376737381
24033800505,24033,2454,1219,0.9911764705882353
24510260700,24510,2691,1429,1.0
24510260900,24510,3110,2182,1.0
24510261000,24510,3077,1538,1.0
24510270101,24510,1568,784,1.0
24510271900,24510,4012,1611,1.0
24510272003,24510,5677,2141,1.0
24510010300,24510,2552,1902,0.9922640536358948
24510080301,24510,1653,702,1.0
24510110100,24510,3040,2197,1.0
24510090300,24510,4558,2249,1.0
24510100300,24510,4247,3099,0.0
24025304201,24025,6505,2880,1.0
24025301601,24025,6933,3115,0.9945438011518642
24025303300,24025,6214,2540,1.0
24025301302,24025,6474,3124,1.0
24001000300,24001,2622,1091,0.9792332268370607
24001000500,24001,2324,933,1.0
24001001700,24001,5364,2127,1.0
24001001200,24001,3095,1246,1.0
24001001900,24001,2884,1270,0.998472116119175
24001002100,24001,3183,1367,1.0
24001001502,24001,1902,717,1.0
24001001800,24001,4650,1178,0.9927573719606829
24001002000,24001,5792,2650,1.0
24001001300,24001,5196,3575,1.0
24001000200,24001,4076,2395,1.0
24001000700,24001,3655,1381,1.0
24001000800,24001,2232,985,1.0
24001001000,24001,2480,1185,1.0
24001001100,24001,1266,568,1.0
24001001401,24001,3802,1775,1.0
24001001600,24001,1706,717,1.0
24001002200,24001,3872,1628,1.0
24001001402,24001,1517,643,1.0
24001000600,24001,2789,1177,1.0
24001000400,24001,2782,1150,1.0
24001000100,24001,3520,1562,1.0
24031703208,24031,5572,2164,0.9902761571373007
24031701215,24031,4915,2644,0.9962987886944819
24031701506,24031,5224,2358,0.9970059880239521
24031703000,24031,1887,968,1.0
24031703214,24031,7910,4122,0.9938258462848627
24031703501,24031,6438,3289,1.0
24031703502,24031,2828,1304,0.9708549222797928
24031703602,24031,3257,1796,0.9954476479514416
24031706005,24031,4447,1619,0.9960918417195896
24031703901,24031,3349,1740,1.0
24031705702,24031,4559,1610,1.0
24031705800,24031,6041,2548,1.0
24031705903,24031,4377,1760,1.0
24031701414,24031,7520,3359,1.0
24031701313,24031,3738,1788,0.9956024626209323
24031701703,24031,3605,1907,0.9953330504879083
24031701704,24031,3023,1481,1.0
24031702302,24031,4018,1954,0.9970276008492569
24031702602,24031,5172,3165,0.996274004012611
24031703209,24031,6466,3056,0.9930755914598961
24031700204,24031,1943,828,1.0
24005408400,24005,817,240,0.9884057971014493
24005408505,24005,3886,1960,1.0
24005408703,24005,6395,3148,1.0
24005408704,24005,5692,2518,1.0
24005411306,24005,5384,2940,1.0
24005411404,24005,3665,1822,0.9947318007662835
24005420303,24005,1352,661,1.0
24005430300,24005,5668,2573,1.0
24005440400,24005,4976,2527,1.0
24005450501,24005,4309,2110,1.0
24005400400,24005,5683,2591,1.0
24005400702,24005,2052,965,1.0
