tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24003740800,24003,5069,1941,0.9929811599556705
24003740900,24003,8413,4146,0.9759369676320273
24003741000,24003,2943,1519,0.9263089851325146
24003750101,24003,4707,2228,0.9747023809523809
24003750102,24003,2423,1200,1.0
24003750201,24003,3809,1608,1.0
24003750204,24003,4963,2332,0.9691558441558441
24003750300,24003,2541,1351,1.0
24003750400,24003,4241,1826,0.9815802229762481
24003750801,24003,6220,2708,0.9545175169022742
24003750803,24003,6253,3301,0.9824753559693319
24003750804,24003,4196,1728,0.9753521126760564
24003750900,24003,2941,1304,0.9766441303011678
24003751000,24003,3804,1980,0.9549812421842434
24003751102,24003,4536,2388,0.9918349806617963
24003751103,24003,5547,2584,0.9807388695926744
24003751200,24003,5061,2557,0.9522292993630573
24003751400,24003,4270,1927,0.9842767295597484
24003751500,24003,7573,3106,0.996772591857001
24003751600,24003,5163,1266,0.9696010132995567
24003751700,24003,2672,1259,0.9788321167883212
24003980000,24003,5,2,0.0
24003990000,24003,0,0,0.0
24005400100,24005,4398,802,0.9794344473007712
24005400200,24005,2861,1532,1.0
24005400400,24005,5261,1848,0.9934354485776805
24005400500,24005,2795,1004,1.0
24005400600,24005,3163,1528,1.0
24005400701,24005,2980,1633,1.0
24005400702,24005,2095,947,1.0
24005400800,24005,3060,1350,0.9940784603997039
24005400900,24005,2076,915,0.98989898989899
24005401000,24005,2358,864,1.0
24005401101,24005,6164,2438,1.0
24005401102,24005,809,253,1.0
24005401200,24005,3746,1615,0.9894525364138623
24005401301,24005,3825,1787,1.0
24005401302,24005,3141,1576,1.0
24005401400,24005,1679,754,1.0
24005401503,24005,6525,2706,0.990998146677257
24005401504,24005,7197,3236,1.0
24005401505,24005,4511,1879,1.0
24005401506,24005,4708,2652,1.0
24005401507,24005,7200,3392,1.0
24005402201,24005,3397,1462,1.0
24005402202,24005,1602,818,1.0
24005402302,24005,6004,2868,1.0
24005402303,24005,7163,3236,1.0
24005402304,24005,3539,1742,1.0
24005402305,24005,2542,1307,1.0
24005402306,24005,4394,2252,1.0
24005402307,24005,6077,2660,1.0
24005402403,24005,2229,948,1.0
24005402404,24005,5431,2472,1.0
24005402405,24005,3901,1886,1.0
24005402407,24005,1136,560,1.0
24005402408,24005,2217,1107,1.0
24005402409,24005,4522,2233,1.0
24005402503,24005,5453,2456,1.0
24005402504,24005,5246,2177,1.0
24005402505,24005,3008,1288,1.0
24005402506,24005,4672,2036,0.9926308032424466
24005402510,24005,4938,2456,1.0
24005402511,24005,5445,2987,1.0
24005402602,24005,2063,1026,1.0
24005402603,24005,6030,2761,1.0
24005402604,24005,6957,2926,1.0
24005403100,24005,2411,907,1.0
24005403201,24005,3470,1487,1.0
24005403202,24005,2225,843,1.0
24005403300,24005,2268,1022,1.0
24005403401,24005,3604,1602,1.0
24005403402,24005,5032,2100,1.0
24005403500,24005,5766,2111,1.0
24005403601,24005,4790,1897,0.9907869481765835
24005403602,24005,6265,3073,1.0
24005403702,24005,6358,2547,1.0
24005403703,24005,2327,658,1.0
24005403704,24005,4630,1622,1.0
24005403801,24005,1362,477,1.0
24005403802,24005,3159,1149,1.0
24005403803,24005,3324,1085,1.0
24005404101,24005,6745,3763,1.0
24005404102,24005,5680,2997,1.0
24005404201,24005,6133,2792,1.0
24005404202,24005,8390,3632,1.0
24005404402,24005,6481,2835,1.0
24005404403,24005,5228,2591,1.0
24005404404,24005,5828,2544,1.0
24005404501,24005,6671,3050,1.0
24005404502,24005,3756,1695,1.0
24005404600,24005,2754,1097,0.9935483870967742
24005404800,24005,2141,955,0.9942857142857143
24005404900,24005,4399,1782,1.0
24005405000,24005,4699,2044,1.0
24005406000,24005,5446,2444,1.0
24005407001,24005,3282,1251,1.0
24005407002,24005,5683,2308,0.9962429555416406
24005408100,24005,6426,2748,1.0
24005408200,24005,1923,776,1.0
24005408302,24005,2909,1146,1.0
24005408303,24005,3237,1389,1.0
24005408304,24005,4745,1311,1.0
24005408400,24005,1290,619,1.0
24005408502,24005,5556,1845,1.0
24005408503,24005,4187,2372,1.0
24005408505,24005,3623,1611,1.0
24005408506,24005,4957,3063,1.0
24005408507,24005,6337,3784,0.9953132708436112
24005408601,24005,4355,2010,0.9971774193548387
24005408602,24005,1980,747,1.0
24005408702,24005,2249,833,1.0
24005408703,24005,6635,2874,0.9841605068637803
24005408704,24005,5409,2195,1.0
24005408800,24005,2187,1200,0.9992902767920511
24005408900,24005,2549,1137,1.0
24005410100,24005,6046,2411,1.0
24005410200,24005,5084,2155,0.9899419729206963
24005411101,24005,2234,921,1.0
24005411102,24005,3363,1176,0.9944008958566629
24005411201,24005,2972,1126,1.0
24005411202,24005,4113,1595,1.0
24005411302,24005,4109,2110,0.996031746031746
24005411303,24005,6599,3083,1.0
24005411306,24005,5909,2683,1.0
24005411307,24005,3443,1753,0.9793205317577548
24005411308,24005,4512,1770,1.0
24005411309,24005,8877,4242,1.0
24005411404,24005,3482,1537,1.0
24005411406,24005,4368,1832,1.0
24005411408,24005,3721,1697,1.0
24005411409,24005,4838,2417,1.0
24005411410,24005,4841,2310,1.0
24005411411,24005,3140,1292,1.0
24005411412,24005,3844,1931,1.0
24005411413,24005,3177,233,1.0
24005420100,24005,3475,1508,1.0
24005420200,24005,3308,1443,0.9916481069042317
24005420301,24005,2335,1118,1.0
24005420302,24005,2422,1147,1.0
24005420303,24005,1158,568,1.0
24005420401,24005,7426,3664,1.0
24005420402,24005,1931,915,0.9979654120040692
24005420500,24005,3839,1813,1.0
24005420600,24005,4704,1832,1.0
24005420701,24005,3227,1324,1.0
24005420702,24005,2548,1091,1.0
24005420800,24005,3182,1289,1.0
24005420900,24005,3878,1698,1.0
24005421000,24005,1962,739,1.0
24005421101,24005,3000,1344,0.9921052631578947
24005421102,24005,2621,1193,1.0
24005421200,24005,1839,905,1.0
24005430101,24005,5212,2518,1.0
24005430104,24005,2904,1279,0.995049504950495
24005430200,24005,2962,1342,0.9872029250457038
24005430300,24005,6292,2799,1.0
24005430400,24005,4309,2190,0.9960768928991761
24005430600,24005,2267,1165,1.0
24005430700,24005,5147,2696,1.0
24005430800,24005,3937,2012,0.9929693961952026
24005430900,24005,4475,2379,0.9755491089929549
24005440100,24005,4293,2225,1.0
