tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24021751003,24021,5699,3226,1.0
24021751004,24021,4706,2383,0.9947127247091999
24021751201,24021,5850,2390,0.8897866839043309
24021751202,24021,6351,3199,0.98325007346459
24021751203,24021,1827,805,1.0
24021751301,24021,4576,1857,1.0
24021751302,24021,3242,1662,1.0
24021751600,24021,3075,1259,1.0
24021751701,24021,2666,1247,0.9951388888888889
24021751702,24021,3593,1703,1.0
24021751801,24021,4953,2516,0.9912952646239555
24021751802,24021,3903,1895,1.0
24021751902,24021,5612,2793,0.995148401826484
24021751903,24021,6841,2924,1.0
24021751904,24021,3491,1653,0.9890167364016736
24021751905,24021,2622,1247,0.9932569116655429
24021751906,24021,2157,883,0.9904513888888888
24021752001,24021,5244,2506,1.0
24021752101,24021,3356,1570,1.0
24021752102,24021,5414,2516,0.9983361064891847
24021752201,24021,2153,932,1.0
24021752202,24021,4015,1921,0.9962423673085956
24021752205,24021,4114,2132,1.0
24021752206,24021,5173,2612,1.0
24021752301,24021,5898,3124,0.98941647597254
24021752302,24021,4216,1957,0.9566337483898669
24021752303,24021,3293,1555,1.0
24021752501,24021,5286,2535,0.9951845906902087
24021752502,24021,2705,1191,1.0
24021752601,24021,4343,1768,1.0
24021752602,24021,2333,1037,0.9893790849673203
24021752603,24021,4456,1967,0.9965920155793574
24021752801,24021,1971,977,0.9948849104859335
24021752802,24021,3861,1744,0.9975514201762977
24021752900,24021,3186,1429,0.9778683750728014
24021753001,24021,5317,2377,1.0
24021753002,24021,2765,1270,1.0
24021751002,24021,5366,2652,0.9934232160473528
24021765100,24021,4163,2103,1.0
24021766800,24021,5820,1950,0.988036593947924
24021767500,24021,2622,1019,1.0
24021767600,24021,2919,1333,1.0
24021770700,24021,3486,1565,0.9949290060851927
24021772200,24021,1543,765,1.0
24021773500,24021,4604,2235,1.0
24043010902,24043,2897,1469,1.0
24043011000,24043,6490,5173,0.0
24043011100,24043,6174,2899,0.9962790697674418
24043011202,24043,4737,1801,0.9908130454754249
24043011203,24043,5032,2062,1.0
24043011204,24043,4547,2296,1.0
24043011301,24043,5480,2716,0.9903846153846154
24043011302,24043,3878,1731,1.0
24043011400,24043,6516,2736,0.9891891891891892
24043011501,24043,4508,2177,0.9991532599491956
24043011502,24043,3174,1496,1.0
24043011600,24043,3046,1439,1.0
24043011700,24043,5389,2317,1.0
24045000100,24045,5995,2689,1.0
24045000200,24045,1798,976,1.0
24045000300,24045,1401,561,1.0
24045000400,24045,3747,1479,1.0
24045000500,24045,3114,1355,0.9931153184165232
24045010101,24045,5784,2753,0.9810165339865279
24045010102,24045,3308,1298,1.0
24045010200,24045,6357,2594,1.0
24045010300,24045,8655,3466,1.0
24045010400,24045,6398,1876,0.9990680335507922
24045010501,24045,6137,2600,1.0
24045010503,24045,5002,1063,1.0
24045010504,24045,4656,1576,0.9937694704049844
24045010603,24045,7483,3947,1.0
24045010604,24045,5492,2340,1.0
24045010605,24045,4120,1712,1.0
24045010606,24045,4273,1831,1.0
24045010701,24045,4488,2137,0.9980190174326465
24045010703,24045,4601,2316,1.0
24045010704,24045,4755,2151,1.0
24045010800,24045,5658,2232,1.0
24047950000,24047,1688,707,1.0
24047950100,24047,2232,957,0.984363894811656
24047950300,24047,3142,1039,1.0
24043010901,24043,6095,2928,0.9956236323851203
24047950400,24047,2688,1238,1.0
24047950600,24047,3158,952,1.0
24047950700,24047,2571,965,1.0
24047950800,24047,5045,1970,1.0
24047950900,24047,1955,788,1.0
