tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24001000100,24001,3462,1454,1.0
24001000200,24001,4245,2324,1.0
24001000500,24001,2241,619,1.0
24001000600,24001,2726,1081,1.0
24001000700,24001,3233,1110,1.0
24001000800,24001,1865,996,1.0
24001001000,24001,2325,935,1.0
24001001100,24001,1283,596,1.0
24001001200,24001,3009,1257,0.9889705882352942
24001001300,24001,5644,4054,1.0
24001001401,24001,3865,1710,1.0
24001001402,24001,1593,722,1.0
24001001502,24001,2108,893,1.0
24001001503,24001,1605,754,1.0
24001001600,24001,1520,492,1.0
24001001700,24001,3598,1364,0.993060374739764
24001001800,24001,4263,891,1.0
24001001900,24001,2691,1059,0.9933579335793358
24001002000,24001,4983,2395,1.0
24001002100,24001,3018,1300,0.9953739398612182
24001002200,24001,3695,1549,1.0
24001002300,24001,5712,2346,1.0
24003701101,24003,4352,1889,0.994902687673772
24003701103,24003,4102,2470,0.9877149877149877
24003701104,24003,3628,1658,0.9847815414825725
24003701201,24003,3762,1805,0.9959202175883953
24003701202,24003,4435,2130,0.9677547770700637
24003701301,24003,4341,1885,0.9854368932038835
24003701302,24003,3665,1475,0.9819628647214854
24003701400,24003,3736,1537,0.9907658881042911
24003702100,24003,6193,2760,1.0
24003702204,24003,4778,2161,0.9954676555418212
24003702205,24003,5161,2437,0.9595775673707211
24003702206,24003,7338,3535,0.9755615897309307
24003702208,24003,8529,4449,0.9739387956564659
24003702209,24003,4006,2079,0.9805989034162801
24003702300,24003,5501,2415,1.0
24003702402,24003,7554,3248,0.9800144473874308
24003702500,24003,7105,2913,0.9827981651376146
24003702601,24003,6000,2758,0.9952138797487287
24003702602,24003,6470,2828,1.0
24003702702,24003,3739,1416,1.0
24003702703,24003,2671,1719,0.9720670391061452
24003702704,24003,2608,1782,0.987081620669407
24003706102,24003,2654,1058,0.96972049689441
24003706103,24003,1498,588,0.9646341463414634
24003706302,24003,3772,1988,0.9936733886911823
24003706303,24003,2588,960,1.0
24003706304,24003,2055,838,0.8965201465201466
24003706402,24003,3683,1611,0.9772209567198178
24003706403,24003,4267,1923,1.0
24003706404,24003,2459,1217,1.0
24003706500,24003,5793,2798,0.9974034404414152
24003706600,24003,5221,2566,0.9907470870459218
24003706700,24003,4878,998,0.1264804469273743
24003707001,24003,5463,2555,0.9811546515106192
24003707002,24003,4482,1890,0.9864636209813875
24003708001,24003,3742,1757,0.9862215156332803
24003708004,24003,6421,2813,0.995631825273011
24003730101,24003,2135,1030,0.9618745035742653
24003730102,24003,11304,6232,0.9803340517241379
24003730204,24003,6529,3278,0.9917808219178083
24003730205,24003,2106,1217,1.0
24003730206,24003,3202,1613,1.0
24003730300,24003,3893,1899,0.9955197132616488
24003730401,24003,5491,2345,1.0
24003730403,24003,4131,2269,0.9699639567480978
24003730404,24003,1890,853,1.0
24003730507,24003,4599,2164,0.9866570501262171
24003730508,24003,2552,1362,1.0
24003730509,24003,4502,2001,1.0
24003730510,24003,3570,1676,0.9984709480122325
24003730511,24003,1221,612,1.0
24003730512,24003,2029,1109,0.974706413730804
24003730513,24003,1596,906,0.9906015037593985
24003730514,24003,3201,1837,0.9160493827160494
24003730601,24003,6928,2852,0.991309223437062
24003730603,24003,3272,1484,0.9909502262443439
24003730605,24003,2828,1085,0.947652040030793
24003730606,24003,4638,2096,0.9903381642512077
24003730701,24003,2526,1013,0.948252688172043
24003730702,24003,4277,1813,0.9969271290605795
24003730800,24003,2373,867,0.9858657243816255
24003730901,24003,2821,1157,0.8341637010676156
24003730902,24003,3923,1624,0.984751598622725
24003731002,24003,3504,1717,0.9974332648870636
24003731003,24003,4444,2226,0.9805168986083499
24003731004,24003,4138,1861,0.9915102770330653
